,overall_run_index,simulation_run_index,consumer_index,utility
0,0,0,0,0.8696617259854057
1,0,1,0,0.8696617259854057
2,0,2,0,0.8696617259854057
3,0,3,0,0.8696617259854057
4,0,4,0,-0.1066222680741546
5,0,5,0,0.8696617259854057
6,0,6,0,0.8696617259854057
7,0,7,0,0.8696617259854057
8,0,8,0,0.8696617259854057
9,0,9,0,0.8696617259854057
10,0,10,0,0.8696617259854057
11,0,11,0,0.8696617259854057
12,0,12,0,0.8696617259854057
13,0,13,0,0.8696617259854057
14,0,14,0,0.8696617259854057
15,0,15,0,0.8696617259854057
16,0,16,0,0.8696617259854057
17,0,17,0,0.8696617259854057
18,0,18,0,0.8696617259854057
19,0,19,0,0.8696617259854057
20,0,20,0,0.8696617259854057
21,0,21,0,0.8696617259854057
22,0,22,0,0.8696617259854057
23,0,23,0,0.8696617259854057
24,0,24,0,0.8696617259854057
25,0,25,0,0.8696617259854057
26,0,26,0,0.8696617259854057
27,0,27,0,0.8696617259854057
28,0,28,0,0.8696617259854057
29,0,29,0,0.8696617259854057
30,0,30,0,0.8696617259854057
31,0,31,0,0.8696617259854057
32,0,32,0,0.8696617259854057
33,0,33,0,-0.1066222680741546
34,0,34,0,0.8696617259854057
35,0,35,0,0.8696617259854057
36,0,36,0,0.8696617259854057
37,0,37,0,0.8696617259854057
38,0,38,0,0.8696617259854057
39,0,39,0,0.8696617259854057
40,0,40,0,0.8696617259854057
41,0,41,0,0.8696617259854057
42,0,42,0,0.8696617259854057
43,0,43,0,0.8696617259854057
44,0,44,0,0.8696617259854057
45,0,45,0,0.8696617259854057
46,0,46,0,0.8696617259854057
47,0,47,0,0.8696617259854057
48,0,48,0,0.8696617259854057
49,0,49,0,0.8696617259854057
